file,rows
works_1925_1999.csv,50202
works_2000.csv,5935
works_2001.csv,6330
works_2002.csv,7409
works_2003.csv,8175
works_2004.csv,9280
works_2005.csv,10746
works_2006.csv,12064
works_2007.csv,13964
works_2008.csv,16663
works_2009.csv,19446
works_2010.csv,21854
works_2011.csv,25249
works_2012.csv,26399
works_2013.csv,27834
works_2014.csv,29861
works_2015.csv,30846
works_2016.csv,31598
works_2017.csv,31462
works_2018.csv,31229
works_2019.csv,32069
works_2020.csv,34761
works_2021.csv,28122
works_2022.csv,22354
works_2023.csv,22893
works_2024.csv,21750
works_2025.csv,12569
TOTAL_raw_csv_files,591064
TOTAL_merged_csv,591064
TOTAL_parquet,591064
