Title,Sourceid,Type,Issn,issn_parsed
Vehicular Communications,21100324363,journal,"22142096, 2214210X","22142096,2214210X"
Digital Communications and Networks,21100823476,journal,"23528648, 24685925","23528648,24685925"
Journal of Social Ontology,21100900143,journal,21969663,21969663
Speech Communication,23671,journal,01676393,01676393
Communication and the Public,21100911066,journal,20570481,20570481
South African Journal of Communication Disorders,73721,journal,"03798046, 22254765","03798046,22254765"
Visitor Studies,18300156707,journal,"10645578, 19347715","10645578,19347715"
American Communication Journal,16924,journal,15325865,15325865
East Asian Pragmatics,21100901052,journal,20557760,20557760
Austrian Journal of South-East Asian Studies,21100405571,journal,"19992521, 1999253X","19992521,1999253X"
Journal of Mobile Multimedia,19900192412,journal,15504646,15504646
Communication Sciences and Disorders,21100439340,journal,"22880917, 22881328","22880917,22881328"
"LIA Language, Interaction and Acquisition",20500195202,journal,"18797873, 18797865","18797873,18797865"
Digital Icons,21100847373,journal,20437633,20437633
Indo-European Linguistics,21100924303,journal,"22125892, 22125884","22125892,22125884"
Comunicazioni Sociali,21100803568,journal,"03928667, 18277969","03928667,18277969"
Slovenske Divadlo,21100948920,journal,"0037699X, 13368605","0037699X,13368605"
International Journal of Digital Multimedia Broadcasting,17600155044,journal,"16877586, 16877578","16877586,16877578"
Token,21100900333,journal,"22995900, 23922087","22995900,23922087"
Advances in the History of Rhetoric,21100382610,journal,"15362426, 19360835","15362426,19360835"
Visual Ethnography,21100455564,journal,"24999288, 22811605","24999288,22811605"
Comunicazione Politica,21100812618,journal,"19725094, 15946061","19725094,15946061"
Cogency,21100841303,journal,07188285,07188285
International Journal of Ultra Wideband Communications and Systems,19900193668,journal,"17587298, 1758728X","17587298,1758728X"
Westminster Papers in Communication and Culture,21100987403,journal,17446716,17446716
Yearbook of Phraseology,21100794824,journal,"18686338, 1868632X","18686338,1868632X"
Cognitive Studies,21100896913,journal,23922397,23922397
Journal of Japanese and Korean Cinema,21100456194,journal,"17564913, 17564905","17564913,17564905"
Studies in Eastern European Cinema,21100922615,journal,"2040350X, 20403518","2040350X,20403518"
Erudition and the Republic of Letters,21100891039,journal,"24055050, 24055069","24055050,24055069"
"Global Media Journal, Canadian Edition",21100245708,journal,19185901,19185901
International Journal of Marketing Semiotics and Discourse Studies,21100773744,journal,21952280,21952280
Loquens,21100868101,journal,23862637,23862637
Theoria et Historia Scientiarum,21100903456,journal,"08674159, 23921196","08674159,23921196"
Zeitschrift fur Evaluation,7200153128,journal,16195515,16195515
Journal of Print and Media Technology Research,21100847304,journal,"22238905, 24146250","22238905,24146250"
Kodikas/ Code,5700169140,journal,01710834,01710834
Mass Communication Research,6600153111,journal,10161007,10161007
Cinema,21100945205,journal,16478991,16478991
Publishing History,21100410300,journal,03092445,03092445
Asian Cinema,21100914235,journal,"1059440X, 20496710","1059440X,20496710"
Literary Journalism Studies,21100980696,journal,"1944897X, 19448988","1944897X,19448988"
Digital TV Europe,19500157805,journal,2040266X,2040266X
Ekphrasis,21100948918,journal,25592068,25592068
SARE,21100899305,journal,0127046X,0127046X
Victoriographies,21100898970,journal,"20442416, 20442424","20442416,20442424"
Estudios de Teoria Literaria,21100904229,journal,23139676,23139676
"Tekst, Kniga, Knigoizdaniye",21100900060,journal,"23062061, 23113774","23062061,23113774"
Zeichen,21100856788,journal,09324747,09324747
Advances in Southeast Asian Studies,21101141528,journal,2791531X,2791531X
Anafora,21101019252,journal,"24595160, 18492339","24595160,18492339"
Apparatus,21101038535,journal,23657758,23657758
Cognitive Semiotics,21101038745,journal,22352066,22352066
Communications in Information and Systems,21101256262,journal,"15267555, 21634548","15267555,21634548"
Designs for Learning,21101172014,journal,20017480,20017480
Digital Translation: International Journal of Translation and Localization,21101194144,journal,"29496861, 29496845","29496861,29496845"
"Documentation, Information and Knowledge",21101185486,journal,10032797,10032797
Eludamos,21101196453,journal,18666124,18666124
E-Revista de Estudos Interculturais,21101063828,journal,21826439,21826439
Evropsky Politicky a Pravni Diskurz,21101198704,journal,23365447,23365447
IEEE Networking Letters,21101259094,journal,25763156,25763156
Imago - Revista de Emblematica y Cultura Visual,21101021487,journal,"21710147, 22549633","21710147,22549633"
Internationale Neerlandistiek,21101040216,journal,"18769071, 22145729","18769071,22145729"
"Journal for Religion, Film and Media",21101090148,journal,"26173697, 24140201","26173697,24140201"
Journal of Applied Communications,21101245229,journal,24761362,24761362
Journal of Project Management (Canada),21101180532,journal,"23718374, 23718366","23718374,23718366"
"Language, Discourse and Society",21101050346,journal,22394192,22394192
Medialni Studia,21101038820,journal,"18019978, 24644846","18019978,24644846"
MedieKultur,21101046763,journal,19019726,19019726
Paralleles,21101023864,journal,"21024316, 22966684","21024316,22966684"
Political Economy of Communication,21101039258,journal,23571705,23571705
Poznanskie Studia Slawistyczne,21101061449,journal,"20843011, 24502731","20843011,24502731"
Publishing and Printing,21101256260,journal,10071938,10071938
Reti Saperi Linguaggi,21101023107,journal,"22797777, 18268889","22797777,18268889"
Scholarly Assessment Reports,21101051215,journal,26895870,26895870
"Translation, Cognition and Behavior",21101053571,journal,"25425285, 25425277","25425285,25425277"
Vestnik Moskovskogo Universiteta. Seriya 10. Zhurnalistika,21101038677,journal,"03208079, 26583526","03208079,26583526"
Visual History,21101089139,journal,"25323504, 24215627","25323504,24215627"
Z Badan nad Ksiazka i Ksiegozbiorami Historycznymi,21101046690,journal,"25448730, 18970788","25448730,18970788"
ZTE Communications,21101260505,journal,16735188,16735188
