Title,Sourceid,Type,Issn,issn_parsed
IEEE International Professional Communication Conference,110577,conference and proceedings,2158091X,2158091X
"2008 International Conference on Microwave and Millimeter Wave Technology Proceedings, ICMMT",11600154638,conference and proceedings,-,
"Proceedings of the 15th International Conference on Advanced Computing and Communications, ADCOM 2007",11700154606,conference and proceedings,-,
"Proceedings - 16th International Conference on Artificial Reality and Telexistence - Workshops, ICAT 2006",11800154579,conference and proceedings,-,
ISAHUC' 06 - Proceedings of 2006 International Symposium on Ad Hoc and Ubiquitous Computing,11800154598,conference and proceedings,-,
"Proceedings - 18th International Conference on Electronics, Communications and Computers, CONIELECOMP 2008",12100155340,conference and proceedings,-,
"International Speech Communication Association - 8th Annual Conference of the International Speech Communication Association, Interspeech 2007",12700154744,conference and proceedings,-,
Global Media Journal (discontinued),14000156160,journal,15507521,15507521
American Communication Journal,16924,journal,15325865,15325865
Journal of the Early Book Society,17100154757,journal,15256790,15256790
International Journal of Digital Multimedia Broadcasting,17600155044,journal,"16877586, 16877578","16877586,16877578"
Visitor Studies,18300156707,journal,"10645578, 19347715","10645578,19347715"
Enriching Communications,18800156715,trade journal,19607652,19607652
Digital TV Europe,19500157805,journal,2040266X,2040266X
"2009 47th Annual Allerton Conference on Communication, Control, and Computing, Allerton 2009",19700167511,conference and proceedings,-,
Journal of Integral Theory and Practice,19700201412,journal,"19445091, 19445083","19445091,19445083"
Journal of Mobile Multimedia,19900192412,journal,15504646,15504646
International Journal of Ultra Wideband Communications and Systems,19900193668,journal,"17587298, 1758728X","17587298,1758728X"
"LIA Language, Interaction and Acquisition",20500195202,journal,"18797873, 18797865","18797873,18797865"
EKSIG 2011: SkinDeep - Experiential Knowledge and Multi Sensory Communication - Proceedings of the International Conference 2011 of the DRS Special Interest Group on Experiential Knowledge,21100203126,conference and proceedings,-,
Innovation and the Public Sector,21100211718,book series,"09289038, 18711073","09289038,18711073"
Emerging Communication: Studies in New Technologies and Practices in Communication,21100211725,book series,"15667677, 18798349","15667677,18798349"
"2013 International Conference on Computing, Management and Telecommunications, ComManTel 2013",21100236802,conference and proceedings,-,
"2013 IEEE 10th Consumer Communications and Networking Conference, CCNC 2013",21100236809,conference and proceedings,-,
"IEEE Radio and Wireless Symposium, RWS",21100238651,conference and proceedings,"21642974, 21642958","21642974,21642958"
"2013 International Conference on Computing, Networking and Communications, ICNC 2013",21100239611,conference and proceedings,-,
"2013 5th International Conference on Information and Communication Technology for the Muslim World, ICT4M 2013",21100242838,conference and proceedings,-,
"Global Media Journal, Canadian Edition",21100245708,journal,19185901,19185901
"International Conference on Advanced Computing and Communication Technologies, ACCT",21100247087,conference and proceedings,"23270659, 23270632","23270659,23270632"
"International Conference on Space Science and Communication, IconSpace",21100269617,conference and proceedings,"21654301, 2165431X","21654301,2165431X"
"UCMMT 2013 - 2013 6th UK, Europe, China Millimeter Waves and THz Technology Workshop",21100276233,conference and proceedings,-,
"2013 11th International Conference on Telecommunications in Modern Satellite, Cable and Broadcasting Services, TELSIKS 2013",21100286345,conference and proceedings,-,
"2013 IEEE International Conference on RFID-Technologies and Applications, RFID-TA 2013",21100286365,conference and proceedings,-,
"IEEE International Conference on Adaptive Science and Technology, ICAST",21100298054,conference and proceedings,"23269413, 23269448","23269413,23269448"
"2013 IEEE International Conference on Advanced Networks and Telecommunications Systems, ANTS 2013",21100314707,conference and proceedings,-,
"2014 20th National Conference on Communications, NCC 2014",21100316054,conference and proceedings,-,
Vehicular Communications,21100324363,journal,"22142096, 2214210X","22142096,2214210X"
"4th International Conference on Telecommunications in Modern Satellite, Cable and Broadcasting Services, ITELSIKS 1999 - Proceedings",21100326893,conference and proceedings,-,
"Proceeding - IEEE COMNETSAT 2013: IEEE International Conference on Communication, Networks and Satellite",21100332201,conference and proceedings,-,
SRIF 2014 - Proceedings of the ACM SIGCOMM 2014 Workshop on Software Radio Implementation Forum,21100334883,conference and proceedings,-,
"SoMeRA 2014 - Proceedings of the 1st ACM International Workshop on Social Media Retrieval and Analysis, Co-located with SIGIR 2014",21100338708,conference and proceedings,-,
"OPTICS 2014 - Proceedings of the 5th International Conference on Optical Communication Systems, Part of ICETE 2014 - 11th International Joint Conference on e-Business and Telecommunications",21100346014,conference and proceedings,-,
"Proceedings - 2014 IEEE 3rd International Conference on Mobile Services, MS 2014",21100348318,conference and proceedings,-,
"20th European Wireless Conference, EW 2014",21100349574,conference and proceedings,-,
"2014 IEEE Microwaves, Radar and Remote Sensing Symposium, MRRS 2014 - Proceedings",21100349590,conference and proceedings,-,
"Proceedings - 2014 International Conference on Embedded and Ubiquitous Computing, EUC 2014",21100355815,conference and proceedings,-,
"2014 IEEE International Conference on Smart Grid Communications, SmartGridComm 2014",21100371201,conference and proceedings,-,
"BROADBANDCOM 2009 - Selected Papers on Broadband Communication, Information Technology and Biomedical Applications",21100375214,conference and proceedings,-,
"Proceedings - 5th International Conference on Computer and Communication Engineering: Emerging Technologies via Comp-Unication Convergence, ICCCE 2014",21100377495,conference and proceedings,-,
TEIN 2012 - 2012 3rd International Conference on Telecommunication and Information,21100380976,conference and proceedings,-,
"2014 the 5th International Conference on Information and Communication Technology for the Muslim World, ICT4M 2014",21100381209,conference and proceedings,-,
Advances in the History of Rhetoric,21100382610,journal,"15362426, 19360835","15362426,19360835"
TEIN 2011 - 2011 2nd ETP/IITA Conference on Telecommunication and Information,21100382628,conference and proceedings,-,
"Proceedings of the 2014 9th International Conference on Communications and Networking in China, CHINACOM 2014",21100382809,conference and proceedings,-,
TEIN 2010 - 2010 ETP/IITA Conference on Telecommunication and Information,21100382825,conference and proceedings,-,
"2014 IEEE Globecom Workshops, GC Wkshps 2014",21100384304,conference and proceedings,-,
"2015 21st National Conference on Communications, NCC 2015",21100390106,conference and proceedings,-,
European Microwave Week 2014: ,21100390366,conference and proceedings,-,
"Smart Grid Conference 2014, SGC 2014",21100395903,conference and proceedings,-,
"GISTAM 2015 - 1st International Conference on Geographical Information Systems Theory, Applications and Management, Proceedings",21100403324,conference and proceedings,-,
"Control Engineering and Information Systems - Proceedings of the International Conference on Control Engineering and Information System, ICCEIS 2014",21100405527,conference and proceedings,-,
Austrian Journal of South-East Asian Studies,21100405571,journal,"19992521, 1999253X","19992521,1999253X"
APNOMS 2014 - 16th Asia-Pacific Network Operations and Management Symposium,21100407206,conference and proceedings,-,
Library of the Written Word,21100407264,book series,"18744842, 18744834","18744842,18744834"
"2013 International Conference on Privacy and Security in Mobile Systems, PRISMS 2013 - co-located with Global Wireless Summit",21100407603,conference and proceedings,-,
"RINA, Royal Institution of Naval Architects - Design and Operation of Passenger Ships 2013",21100409156,conference and proceedings,-,
Publishing History,21100410300,journal,03092445,03092445
"American Fuel and Petrochemical Manufacturers, AFPM - AFPM Annual Meeting 2015",21100411929,conference and proceedings,-,
"Proceedings - IEEE International Conference on E-Commerce, CEC 2003",21100415973,conference and proceedings,-,
"ACL-IJCNLP 2015 - 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing, Proceedings of the Student Research Workshop",21100416485,conference and proceedings,-,
"2003 IEEE Workshop on Automatic Speech Recognition and Understanding, ASRU 2003",21100423355,conference and proceedings,-,
"Proceedings - 8th International Workshop on Search-Based Software Testing, SBST 2015",21100424190,conference and proceedings,-,
"IEEE International Symposium on Diagnostics for Electric Machines, Power Electronics and Drives, SDEMPED 2003 - Proceedings",21100425315,conference and proceedings,-,
"2nd IEEE International Security in Storage Workshop, SISW 2003",21100427020,conference and proceedings,-,
Scholarly Communication,21100427159,book series,"18799027, 18799035","18799027,18799035"
"5th International Defense and Homeland Security Simulation Workshop, DHSS 2015",21100429024,conference and proceedings,-,
"American Fuel and Petrochemical Manufacturers, AFPM - Reliability and Maintenance Conference 2015",21100433486,conference and proceedings,-,
Communication Sciences and Disorders,21100439340,journal,"22880917, 22881328","22880917,22881328"
"RealWSN 2015 - Proceedings of the 6th ACM Workshop on Real World Wireless Sensor Networks, co-located with SenSys 2015",21100444391,conference and proceedings,-,
"Manufacturing and Engineering Technology - Proceedings of the 2014 International Conference on Manufacturing and Engineering Technology, ICMET 2014",21100446511,conference and proceedings,-,
"MMCommons 2015 - Proceedings of the 2015 Workshop on Community-Organized Multimodal Mining: Opportunities for Novel Solutions, co-located with ACM MM 2015",21100446604,conference and proceedings,-,
"Proceedings - 2015 2nd IEEE International Conference on Advances in Computing and Communication Engineering, ICACCE 2015",21100448007,conference and proceedings,-,
"International Conference on Energy Economics and Environment - 1st IEEE Uttar Pradesh Section Conference, UPCON-ICEEE 2015",21100448030,conference and proceedings,-,
"Proceedings of the 13th International Symposium on Operational Research, SOR 2015",21100448213,conference and proceedings,-,
"2015 International Conference on Collaboration Technologies and Systems, CTS 2015",21100448540,conference and proceedings,-,
MIDDLEWARE 2015 - Middleware Posters and Demos 2015: Proceedings of the Posters and Demos Session of the 16th International Middleware Conference,21100448553,conference and proceedings,-,
"2015 4th International Conference on Agro-Geoinformatics, Agro-Geoinformatics 2015",21100450013,conference and proceedings,-,
"SPLASH Companion 2015 - Companion Proceedings of the 2015 ACM SIGPLAN International Conference on Systems, Programming, Languages and Applications: Software for Humanity",21100450016,conference and proceedings,-,
"SIAM International Conference on Data Mining 2013, SMD 2013",21100450238,conference and proceedings,-,
"IPCC/SIGDOC 2000: Technology and Teamwork - Proceedings, IEEE Professional Communication Society International Professional Communication Conference and ACM Special Interest Group on Documentation Conference",21100450324,conference and proceedings,-,
Proceedings - KORUS 2000: 4th Korea-Russia International Symposium on Science and Technology,21100451296,conference and proceedings,-,
TVX 2015 - Proceedings of the ACM International Conference on Interactive Experiences for TV and Online Video,21100451334,conference and proceedings,-,
"2001 International Topical Meeting on Microwave Photonics, MWP 2001",21100453505,conference and proceedings,-,
"Environmental Aspects, Applications and Implications of Nanomaterials and Nanotechnology 2014 - Topical Conference at the 2014 AIChE Annual Meeting",21100454671,conference and proceedings,-,
"Proceedings - 2014 International Conference on Virtual Reality and Visualization, ICVRV 2014",21100454950,conference and proceedings,-,
