column,parquet_null_count,merged_empty_count,parquet_empty_as_string_count,empty_lost_to_null_min,missing_column_rows,expected_merged_empty,merged_empty_diff_vs_expected,sum_lost_suspicious_tokens,flag_null_inflation,flag_merged_empty_mismatch,flagged,top_lost_token,top_lost_token_count
best_oa_location.source,591064,591064,0,591064,0,591064,0,591064,False,False,True,,591064
grants,591064,591064,0,591064,549124,591064,0,591064,False,False,True,,591064
primary_location,591064,591064,0,591064,57212,591064,0,591064,False,False,True,,591064
primary_location.source,591064,591064,0,591064,0,591064,0,591064,False,False,True,,591064
apc_paid.provenance,591063,591063,0,591063,580318,591063,0,591063,False,False,True,,591063
best_oa_location,591062,591062,0,591062,0,591062,0,591062,False,False,True,,591062
is_authors_truncated,591061,591061,0,591061,517195,591061,0,591061,False,False,True,,591061
institution_assertions,591058,591058,0,591058,468483,591058,0,591058,False,False,True,,591058
citation_normalized_percentile,591057,591057,0,591057,6330,591057,0,591057,False,False,True,,591057
apc_list,591055,591055,0,591055,0,591055,0,591055,False,False,True,,591055
apc_list.provenance,591055,591055,0,591055,523607,591055,0,591055,False,False,True,,591055
apc_paid,591054,591054,0,591054,0,591054,0,591054,False,False,True,,591054
datasets,590858,590858,0,590858,0,590858,0,590858,False,False,True,,590858
institution_assertions.type,590818,590818,0,590818,122581,590818,0,590818,False,False,True,,590818
institution_assertions.country_code,590817,590817,0,590817,122581,590817,0,590817,False,False,True,,590817
institution_assertions.display_name,590817,590817,0,590817,122581,590817,0,590817,False,False,True,,590817
institution_assertions.lineage,590817,590817,0,590817,122581,590817,0,590817,False,False,True,,590817
institution_assertions.ror,590817,590817,0,590817,122581,590817,0,590817,False,False,True,,590817
institution_assertions.id,590814,590814,0,590814,122581,590814,0,590814,False,False,True,,590814
versions,589945,589945,0,589945,0,589945,0,589945,False,False,True,,589945
ids.pmcid,589702,589702,0,589702,79566,589702,0,589702,False,False,True,,589702
mesh.qualifier_ui,586153,586153,0,586153,0,586153,0,586153,False,False,True,,586153
mesh.is_major_topic,586123,586123,0,586123,0,586123,0,586123,False,False,True,,586123
mesh.qualifier_name,586123,586123,0,586123,0,586123,0,586123,False,False,True,,586123
mesh.descriptor_name,586120,586120,0,586120,0,586120,0,586120,False,False,True,,586120
mesh.descriptor_ui,586117,586117,0,586117,0,586117,0,586117,False,False,True,,586117
ids.pmid,583919,583919,0,583919,0,583919,0,583919,False,False,True,,583919
grants.award_id,583672,583672,0,583672,41940,583672,0,583672,False,False,True,,583672
grants.funder_display_name,583670,583670,0,583670,41940,583670,0,583670,False,False,True,,583670
grants.funder,583667,583667,0,583667,41940,583667,0,583667,False,False,True,,583667
apc_paid.value_usd,580179,580179,0,580179,0,580179,0,580179,False,False,True,,580179
apc_paid.currency,579903,579903,0,579903,0,579903,0,579903,False,False,True,,579903
apc_paid.value,579903,579903,0,579903,0,579903,0,579903,False,False,True,,579903
primary_location.license_id,521331,521331,0,521331,0,521331,0,521331,False,False,True,,521331
primary_location.license,521328,521328,0,521328,0,521328,0,521328,False,False,True,,521328
apc_list.value_usd,518955,518955,0,518955,0,518955,0,518955,False,False,True,,518955
